#SRA,BioProject,Technology,Strain_ID
SRX211015,PRJNA183867,Illumina,UM142
SRX211014,PRJNA183867,Illumina,TST75
SRX211013,PRJNA183867,Illumina,SRS812
SRX211012,PRJNA183867,Illumina,NBRC106979
SRX211011,PRJNA183867,Illumina,MLA1
SRX211010,PRJNA183867,Illumina,MexMkt
SRX211009,PRJNA183867,Illumina,CLFT001/10
SRX211008,PRJNA183867,Illumina,LBAbercrom
SRX211007,PRJNA183867,Illumina,JEL627
SRX211006,PRJNA183867,Illumina,JEL433
SRX211005,PRJNA183867,Illumina,JEL429
SRX211002,PRJNA183867,Illumina,JEL427
SRX211000,PRJNA183867,Illumina,JEL408
SRX210999,PRJNA183867,Illumina,JEL359
SRX210998,PRJNA183867,Illumina,JEL310
SRX210997,PRJNA183867,Illumina,JEL289
SRX210996,PRJNA183867,Illumina,JEL275
SRX210995,PRJNA183867,Illumina,JEL271
SRX210994,PRJNA183867,Illumina,JEL267
SRX210987,PRJNA183867,Illumina,JEL238
SRX210985,PRJNA183867,Illumina,EV001
SRX210981,PRJNA183867,Illumina,CLFT026
SRX210955,PRJNA183867,Illumina,CLFT024
SRX210923,PRJNA183867,Illumina,CLFT024-bad
SRX210911,PRJNA183867,Illumina,CLFT023
SRX210898,PRJNA183867,Illumina,CLFT021
SRX210879,PRJNA183867,Illumina,CJB7
SRX210877,PRJNA183867,Illumina,CJB5-2
SRX209951,PRJNA183867,Illumina,CJB4
